,ztfid,redshift,type,duration,peakabs,peakmag,peakfilter,distnr,lumi,peak_g_mag
0,ZTF19abhejal,0.148,TDE,31.1351851997897,-19.9345584209903,19.2995471954346,1.0,0.21037807315588,8.86409183544593e-07,19.2994995117188
1,ZTF19abidbya,0.117,TDE,28.9119560001418,-19.8216444873239,18.8589496612549,1.0,0.126605369150639,1.23509192257342e-06,18.8589000701904
2,ZTF19abhhjcc,0.152,TDE,48.8518286999315,-20.0776415476654,19.2198047637939,1.0,0.245237559080124,1.49678903063463e-06,19.2198009490967
3,ZTF19aatylnl,0.064,TDE,56.020416600164,-18.2706867129812,19.0216312408447,2.0,0.16175602376461,1.53471240969722e-06,19.1350841522217
4,ZTF18actaqdw,0.138,TDE,66.9073032997549,-19.6561663843069,19.4123153686523,1.0,0.208522215485573,1.71691600931503e-06,19.4123001098633
5,ZTF19aakswrb,0.1206,TDE,35.9633102002554,-20.0981958309504,18.6533107757568,1.0,0.278861343860626,1.85667983391071e-06,18.653299331665
6,ZTF19aabbnzo,0.091,TDE,45.9992476003245,-19.4328870013492,18.6643352508545,1.0,0.281716972589493,2.35081416770692e-06,18.6643009185791
7,ZTF19aakiwze,0.193,TDE,81.8580902996473,-20.6132731742856,19.2567253112793,1.0,0.442370384931564,2.42422628474422e-06,19.0372009277344
8,ZTF18abjjkeo,0.103,Baratheon,70.9633102002554,-19.9760636897308,18.4076862335205,2.0,0.167500153183937,3.42209876301132e-06,18.656852722168
9,ZTF19abvgxrq,0.097,Baratheon,29.9783218000084,-20.8440278348235,17.4006576538086,2.0,0.223013259470462,3.65491618979851e-06,17.4218997955322
10,ZTF19aaiqmgl,0.0296,Baratheon,20.965289299842,-18.7660883638983,16.7977256774902,2.0,0.177264526486397,4.45393377859587e-06,17.1284713745117
11,ZTF19aarioci,0.074,TDE,49.8882407997735,-19.5659891030429,18.0568065643311,1.0,0.221225216984749,4.46146238450487e-06,18.0568008422852
12,ZTF18abxftqm,0.088,TDE,116.879317199811,-19.7259711574954,18.2940235137939,1.0,0.19583985209465,8.40097963613405e-06,18.2940006256104
13,ZTF18acaqdaa,0.212,TDE,228.114618100226,-21.758419546758,18.339485168457,1.0,0.149740651249886,1.57239162160812e-05,18.339485168457
14,ZTF19abzrhgq,0.0151,TDE,27.9687616000883,-18.290459355502,15.7881689071655,1.0,0.147663697600365,2.02119095441105e-05,15.7881689071655
15,ZTF19aailpwl,0.37362,Baratheon,364.098310200032,-23.3772886940998,18.1327724456787,2.0,0.172449022531509,2.26174090243079e-05,18.2544708251953
16,ZTF17aaazdba,0.022,TDE,146.645347199868,-19.6302857869385,15.2768697738647,1.0,0.201143965125083,0.000169715711932,15.2768697738647
17,ZTF18aabtxvd,0.071,TDE,36.0,-20.05,17.4,2.0,0.220649123191833,,19.5482006072998
18,ZTF18acpdvos,0.0457,TDE,85.0,-19.98,16.5,2.0,0.06473208218813,,16.4395999908447
19,ZTF18aahqkbt,0.051,TDE,67.0,-18.65,18.08,2.0,0.176966935396194,,18.4734687805176
20,ZTF19aapreis,0.0512,TDE,,,,,,,17.8465957641602
21,ZTF19aatubsj,0.267,Baratheon,,,,,,,18.1464996337891
22,ZTF19aaejtoy,0.0356,Nuclear,,,,,,,17.0991992950439
23,ZTF19aaciohh,0.09,Nuclear,,,,,,,17.8548831939697
24,ZTF19aamjjcx,,Nuclear,,,,,,,18.1364994049072
25,ZTF18aanlzzf,0.235,Nuclear,,,,,,,17.9469909667969
26,ZTF18aapzqup,0.067,Nuclear,,,,,,,17.6095008850098
27,ZTF19abclykm,0.0935,Nuclear,,,,,,,17.9111003875732
