band,telescope,obsmjd,count,flux,redone,flux0310_pi_2,flux0310_pi_1,flux0310_pi_0,flux0310_pi_-1,flux0310_pi_-2,flux0310_bb_25eV,flux0310_bb_60eV,redone_unabsorbed
XRT,Swift,58659.7961611759,0.0073,7.82E-13,2.12E-13,2.5E-13,4.83E-13,9.44E-13,1.58E-12,2.31E-12,3.17E-13,2.29E-13,2.42E-13
XRT,Swift,58672.4556855567,0.00569,6.09E-13,1.66E-13,1.95E-13,3.77E-13,7.36E-13,1.23E-12,1.8E-12,2.47E-13,1.78E-13,
XRT,Swift,58678.2710218171,0.00891,9.54E-13,2.59E-13,3.05E-13,5.9E-13,1.15E-12,1.93E-12,2.82E-12,3.87E-13,2.79E-13,
XRT,Swift,58683.8306871968,0.017,1.82E-12,4.95E-13,5.81E-13,1.13E-12,2.2E-12,3.67E-12,5.38E-12,7.39E-13,5.33E-13,
XRT,Swift,58688.4778242917,0.0137,1.47E-12,3.99E-13,4.69E-13,9.07E-13,1.77E-12,2.96E-12,4.34E-12,5.95E-13,4.3E-13,
XRT,Swift,58693.6897269398,0.00531,5.69E-13,1.55E-13,1.82E-13,3.51E-13,6.87E-13,1.15E-12,1.68E-12,2.31E-13,1.67E-13,
XRT,Swift,58705.7541218912,0.00883,9.45E-13,2.57E-13,3.02E-13,5.84E-13,1.14E-12,1.91E-12,2.8E-12,3.84E-13,2.77E-13,
XRT,Swift,58707.2780847731,0.00686,7.34E-13,2.00E-13,2.35E-13,4.54E-13,8.87E-13,1.48E-12,2.17E-12,2.98E-13,2.15E-13,
XRT,Swift,58712.4174855127,0.00971,1.04E-12,2.83E-13,3.32E-13,6.43E-13,1.26E-12,2.1E-12,3.08E-12,4.22E-13,3.04E-13,
XRT,Swift,58719.5580700197,0.0189,2.02E-12,5.50E-13,6.46E-13,1.25E-12,2.44E-12,4.08E-12,5.99E-12,8.21E-13,5.93E-13,
XRT,Swift,58724.3377647349,0.00696,7.45E-13,2.03E-13,2.38E-13,4.61E-13,9E-13,1.5E-12,2.2E-12,3.03E-13,2.18E-13,
XRT,Swift,58729.582892338,0.0126,1.35E-12,3.67E-13,4.31E-13,8.34E-13,1.63E-12,2.72E-12,3.99E-12,5.48E-13,3.95E-13,
XRT,Swift,58734.4371492002,0.00723,7.74E-13,2.10E-13,2.47E-13,4.78E-13,9.35E-13,1.56E-12,2.29E-12,3.14E-13,2.27E-13,
XRT,Swift,58750.4317648194,0.00593,6.35E-13,1.73E-13,2.03E-13,3.92E-13,7.67E-13,1.28E-12,1.88E-12,2.58E-13,1.86E-13,
XRT,Swift,59007.6925253854,0.0272,2.91E-12,7.91E-13,9.3E-13,1.8E-12,3.52E-12,5.88E-12,8.61E-12,1.18E-12,8.53E-13,
,,,,,,,,,,,,,
,,,,,,,,,,2.8E-12,,,
