,band,telescope,obsmjd,mag_err,alert,mag
13,W1,WISE,58709.28206804,0.051,True,14.943644039027486
14,W1,WISE,58709.41297122,0.044000000000000004,True,14.993350675191063
15,W1,WISE,58709.54374706,0.048,True,15.152336970613876
16,W1,WISE,58709.609198599996,0.046,True,15.3220301635242
17,W1,WISE,58709.67465014,0.045,True,15.063101892016014
18,W1,WISE,58709.73997441,0.046,True,14.912256338879269
19,W1,WISE,58709.80542603,0.04,True,14.73006229292113
20,W1,WISE,58709.87087757,0.049,True,15.344180813099538
21,W1,WISE,58709.93620184,0.043,True,14.975635549803595
22,W1,WISE,58709.93632919999,0.10099999999999999,True,16.994341814275323
23,W1,WISE,58710.00165347,0.051,True,14.487226454038138
24,W1,WISE,58710.06710506,0.042,True,14.903797105955181
25,W1,WISE,58710.19788086,0.043,True,14.826812992357343
26,W1,WISE,58710.2633324,0.040999999999999995,True,14.84573656829417
27,W1,WISE,58710.39410819,0.044000000000000004,True,14.949414909618541
41,W2,WISE,58709.28206804,0.084,True,14.084298860856144
42,W2,WISE,58709.41297122,0.08900000000000001,True,14.130532657196005
43,W2,WISE,58709.54374706,0.08199999999999999,True,14.101785370098368
44,W2,WISE,58709.609198599996,0.073,True,13.919178752333154
45,W2,WISE,58709.67465014,0.081,True,13.98657115210709
46,W2,WISE,58709.73997441,0.076,True,13.970035999679183
47,W2,WISE,58709.80542603,0.086,True,14.069122087586493
48,W2,WISE,58709.87087757,0.09300000000000001,True,14.426465716899523
49,W2,WISE,58709.93620184,0.073,True,14.143943133418961
50,W2,WISE,58709.93632919999,0.10099999999999999,True,14.056203519970047
51,W2,WISE,58710.00165347,0.085,True,14.088656194110612
52,W2,WISE,58710.06710506,0.078,True,14.03485312728579
53,W2,WISE,58710.19788086,0.08199999999999999,True,13.925218241850336
54,W2,WISE,58710.2633324,0.106,True,14.126082730768283
55,W2,WISE,58710.39410819,0.08800000000000001,True,14.148433741178188
