temp1,temp1_chisq,temp2,temp2_chisq,scale1,scale1_chisq,scale2,scale2_chisq
9500,1.31816,1800,1.38454285169456,3E+023,1.44555269372947,1E+020,2.09898304038844
9700,1.07387,1900,0.889394702434715,3.3E+023,1.12164387010128,1.7E+020,1.09437254675378
10000,0.78753,2000,0.52652,3.5E+023,0.949883618865687,2E+020,0.849115885747957
12518.0984,0.08251,2289.21238,0.08251,3.75E+023,0.773842985021671,3E+020,0.365592402024873
14000,0.16612,2500,0.3544,4E+023,0.632129969651791,4E+020,0.151373782364324
15000,0.27481,2700,1.188548,7.61E+023,0.08251,5.15E+020,0.08251
18000,0.65089,3000,3.57109,2E+024,0.647823706180092,1E+021,0.776678591752435
20000,0.885013511842483,,,2.5E+024,0.86403868623583,1.10E+21,1.02027562885137
21000,0.991977360112292,,,3E+024,1.04774728455527,1.15E+21,1.14838544783889
21850,1.07743203924649,,,3.1E+024,1.08109798875537,1.2E+021,1.27981696233168
22000,1.09199983469539,,,3.2E+024,1.11342652404519,1.5E+021,2.1101693673457
23000,1.18532,,,4E+024,1.34013643158118,,
,,,,5E+024,1.56198022557406,,
,,,,8E+024,1.99398791376564,,
