temp1,temp1_chisq,temp2,temp2_chisq,scale1,scale1_chisq,scale2,scale2_chisq,av,av_chisq
,,1000,21.0907472115171,,,,,,
12700,18.9216736547828,1150,18.733506693027,,,,,,
12800,18.7341071465925,1100,19.310991326594,,,,,,
13000,18.4103900108184,1200,18.3340718758866,1.3E+023,23.0886470098449,3E+019,19.05134,0.1,19.3512315361217
13500,17.8983862120932,1300,17.8827244594949,1.4E+023,19.1993446484234,4E+019,18.3573320419092,0.15,18.7233789173069
13935.0001,17.7513645626753,1404.02798,17.7513644204995,1.42E+023,18.720861743438,7.57E+019,17.7513644204995,0.2,18.235910930291
14500,17.9697844809158,1500,17.845832181681,1.45E+023,18.1851957660009,1E+020,17.875223940482,0.33361025,17.7513644204995
15000,18.5039593025689,1600,18.123635896458,1.51E+023,17.7513644204995,1.25E+020,18.1831695453258,0.4,18.0491437079234
15100,18.6406218047953,1700,18.5923178840547,1.6E+023,18.6110759461002,1.5E+020,18.6236864376016,0.45,18.466347630735
15500,19.3094734703195,1800,19.285255599375,1.65E+023,19.8165207069198,1.75E+020,19.190325384204,0.47,18.7418211951667
,,1900,20.2656198691313,1.7E+023,21.500838710009,2E+020,19.8592244153456,0.5,19.1768494394603
